algorithm_latency_us,round_period_us,window_id,read_lo,read_hi,commit_lo,commit_hi,first_qpu_send_us,last_qpu_send_us,first_buffer0_us,buffer0_ready_us,dependency_arrival_us,queued_us,dispatch_us,cwd_arrival_us,decode_done_us,dd_delivery_us,wdo_delivery_us,frame_commit_us,dependency_block_us,buffer0_ready_to_frame_us,qpu_last_round_to_frame_us
0.028,2.0,13,40,45,40,42,80.0,90.0,81.5,91.5,87.056,91.5,91.5,92.5,92.556,93.056,93.556,93.56,0.0,2.06,3.56
0.028,2.0,14,43,48,43,45,86.0,96.0,87.5,97.5,93.056,97.5,97.5,98.5,98.556,99.056,99.556,99.56,0.0,2.06,3.56
0.028,2.0,15,46,51,46,48,92.0,102.0,93.5,103.5,99.056,103.5,103.5,104.5,104.556,105.056,105.556,105.56,0.0,2.06,3.56
0.028,2.0,16,49,54,49,51,98.0,108.0,99.5,109.5,105.056,109.5,109.5,110.5,110.556,111.056,111.556,111.56,0.0,2.06,3.56
0.028,2.0,17,52,57,52,54,104.0,114.0,105.5,115.5,111.056,115.5,115.5,116.5,116.556,117.056,117.556,117.56,0.0,2.06,3.56
0.028,2.0,18,55,60,55,60,110.0,120.0,111.5,121.5,117.056,121.5,121.5,122.5,122.556,,123.556,123.56,0.0,2.06,3.56
0.028,1.0,0,1,6,1,3,1.0,6.0,2.5,7.5,,7.5,7.5,8.5,8.556,9.056,9.556,9.56,0.0,2.06,3.56
0.028,1.0,1,4,9,4,6,4.0,9.0,5.5,10.5,9.056,10.5,10.5,11.5,11.556,12.056,12.556,12.56,0.0,2.06,3.56
0.028,1.0,2,7,12,7,9,7.0,12.0,8.5,13.5,12.056,13.5,13.5,14.5,14.556,15.056,15.556,15.56,0.0,2.06,3.56
0.028,1.0,3,10,15,10,12,10.0,15.0,11.5,16.5,15.056,16.5,16.5,17.5,17.556,18.056,18.556,18.56,0.0,2.06,3.56
0.028,1.0,4,13,18,13,15,13.0,18.0,14.5,19.5,18.056,19.5,19.5,20.5,20.556,21.056,21.556,21.56,0.0,2.06,3.56
0.028,1.0,5,16,21,16,18,16.0,21.0,17.5,22.5,21.056,22.5,22.5,23.5,23.556,24.056,24.556,24.56,0.0,2.06,3.56
0.028,1.0,6,19,24,19,21,19.0,24.0,20.5,25.5,24.056,25.5,25.5,26.5,26.556,27.056,27.556,27.56,0.0,2.06,3.56
0.028,1.0,7,22,27,22,24,22.0,27.0,23.5,28.5,27.056,28.5,28.5,29.5,29.556,30.056,30.556,30.56,0.0,2.06,3.56
0.028,1.0,8,25,30,25,27,25.0,30.0,26.5,31.5,30.056,31.5,31.5,32.5,32.556,33.056,33.556,33.56,0.0,2.06,3.56
0.028,1.0,9,28,33,28,30,28.0,33.0,29.5,34.5,33.056,34.5,34.5,35.5,35.556,36.056,36.556,36.56,0.0,2.06,3.56
0.028,1.0,10,31,36,31,33,31.0,36.0,32.5,37.5,36.056,37.5,37.5,38.5,38.556,39.056,39.556,39.56,0.0,2.06,3.56
0.028,1.0,11,34,39,34,36,34.0,39.0,35.5,40.5,39.056,40.5,40.5,41.5,41.556,42.056,42.556,42.56,0.0,2.06,3.56
0.028,1.0,12,37,42,37,39,37.0,42.0,38.5,43.5,42.056,43.5,43.5,44.5,44.556,45.056,45.556,45.56,0.0,2.06,3.56
0.028,1.0,13,40,45,40,42,40.0,45.0,41.5,46.5,45.056,46.5,46.5,47.5,47.556,48.056,48.556,48.56,0.0,2.06,3.56
0.028,1.0,14,43,48,43,45,43.0,48.0,44.5,49.5,48.056,49.5,49.5,50.5,50.556,51.056,51.556,51.56,0.0,2.06,3.56
0.028,1.0,15,46,51,46,48,46.0,51.0,47.5,52.5,51.056,52.5,52.5,53.5,53.556,54.056,54.556,54.56,0.0,2.06,3.56
0.028,1.0,16,49,54,49,51,49.0,54.0,50.5,55.5,54.056,55.5,55.5,56.5,56.556,57.056,57.556,57.56,0.0,2.06,3.56
0.028,1.0,17,52,57,52,54,52.0,57.0,53.5,58.5,57.056,58.5,58.5,59.5,59.556,60.056,60.556,60.56,0.0,2.06,3.56
0.028,1.0,18,55,60,55,60,55.0,60.0,56.5,61.5,60.056,61.5,61.5,62.5,62.556,,63.556,63.56,0.0,2.06,3.56
0.028,0.9,0,1,6,1,3,0.9,5.4,2.4,6.9,,6.9,6.9,7.9,7.956,8.456,8.956,8.96,0.0,2.06,3.56
0.028,0.9,1,4,9,4,6,3.6,8.1,5.1,9.6,8.456,9.6,9.6,10.6,10.656,11.156,11.656,11.66,0.0,2.06,3.56
0.028,0.9,2,7,12,7,9,6.3,10.8,7.8,12.3,11.156,12.3,12.3,13.3,13.356,13.856,14.356,14.36,0.0,2.06,3.56
0.028,0.9,3,10,15,10,12,9.0,13.5,10.5,15.0,13.856,15.0,15.0,16.0,16.056,16.556,17.056,17.06,0.0,2.06,3.56
0.028,0.9,4,13,18,13,15,11.7,16.2,13.2,17.7,16.556,17.7,17.7,18.7,18.756,19.256,19.756,19.76,0.0,2.06,3.56
0.028,0.9,5,16,21,16,18,14.4,18.9,15.9,20.4,19.256,20.4,20.4,21.4,21.456,21.956,22.456,22.46,0.0,2.06,3.56
0.028,0.9,6,19,24,19,21,17.1,21.6,18.6,23.1,21.956,23.1,23.1,24.1,24.156,24.656,25.156,25.16,0.0,2.06,3.56
0.028,0.9,7,22,27,22,24,19.8,24.3,21.3,25.8,24.656,25.8,25.8,26.8,26.856,27.356,27.856,27.86,0.0,2.06,3.56
0.028,0.9,8,25,30,25,27,22.5,27.0,24.0,28.5,27.356,28.5,28.5,29.5,29.556,30.056,30.556,30.56,0.0,2.06,3.56
0.028,0.9,9,28,33,28,30,25.2,29.7,26.7,31.2,30.056,31.2,31.2,32.2,32.256,32.756,33.256,33.26,0.0,2.06,3.56
0.028,0.9,10,31,36,31,33,27.9,32.4,29.4,33.9,32.756,33.9,33.9,34.9,34.956,35.456,35.956,35.96,0.0,2.06,3.56
0.028,0.9,11,34,39,34,36,30.6,35.1,32.1,36.6,35.456,36.6,36.6,37.6,37.656,38.156,38.656,38.66,0.0,2.06,3.56
0.028,0.9,12,37,42,37,39,33.3,37.8,34.8,39.3,38.156,39.3,39.3,40.3,40.356,40.856,41.356,41.36,0.0,2.06,3.56
0.028,0.9,13,40,45,40,42,36.0,40.5,37.5,42.0,40.856,42.0,42.0,43.0,43.056,43.556,44.056,44.06,0.0,2.06,3.56
0.028,0.9,14,43,48,43,45,38.7,43.2,40.2,44.7,43.556,44.7,44.7,45.7,45.756,46.256,46.756,46.76,0.0,2.06,3.56
0.028,0.9,15,46,51,46,48,41.4,45.9,42.9,47.4,46.256,47.4,47.4,48.4,48.456,48.956,49.456,49.46,0.0,2.06,3.56
0.028,0.9,16,49,54,49,51,44.1,48.6,45.6,50.1,48.956,50.1,50.1,51.1,51.156,51.656,52.156,52.16,0.0,2.06,3.56
0.028,0.9,17,52,57,52,54,46.8,51.3,48.3,52.8,51.656,52.8,52.8,53.8,53.856,54.356,54.856,54.86,0.0,2.06,3.56
0.028,0.9,18,55,60,55,60,49.5,54.0,51.0,55.5,54.356,55.5,55.5,56.5,56.556,,57.556,57.56,0.0,2.06,3.56
0.028,0.85,0,1,6,1,3,0.85,5.1,2.35,6.6,,6.6,6.6,7.6,7.656,8.156,8.656,8.66,0.0,2.06,3.56
0.028,0.85,1,4,9,4,6,3.4,7.65,4.9,9.15,8.156,9.15,9.15,10.15,10.206,10.706,11.206,11.21,0.0,2.06,3.56
0.028,0.85,2,7,12,7,9,5.95,10.2,7.45,11.7,10.706,11.7,11.7,12.7,12.756,13.256,13.756,13.76,0.0,2.06,3.56
0.028,0.85,3,10,15,10,12,8.5,12.75,10.0,14.25,13.256,14.25,14.25,15.25,15.306,15.806,16.306,16.31,0.0,2.06,3.56
0.028,0.85,4,13,18,13,15,11.05,15.3,12.55,16.8,15.806,16.8,16.8,17.8,17.856,18.356,18.856,18.86,0.0,2.06,3.56
0.028,0.85,5,16,21,16,18,13.6,17.85,15.1,19.35,18.356,19.35,19.35,20.35,20.406,20.906,21.406,21.41,0.0,2.06,3.56
0.028,0.85,6,19,24,19,21,16.15,20.4,17.65,21.9,20.906,21.9,21.9,22.9,22.956,23.456,23.956,23.96,0.0,2.06,3.56
0.028,0.85,7,22,27,22,24,18.7,22.95,20.2,24.45,23.456,24.45,24.45,25.45,25.506,26.006,26.506,26.51,0.0,2.06,3.56
0.028,0.85,8,25,30,25,27,21.25,25.5,22.75,27.0,26.006,27.0,27.0,28.0,28.056,28.556,29.056,29.06,0.0,2.06,3.56
0.028,0.85,9,28,33,28,30,23.8,28.05,25.3,29.55,28.556,29.55,29.55,30.55,30.606,31.106,31.606,31.61,0.0,2.06,3.56
0.028,0.85,10,31,36,31,33,26.35,30.6,27.85,32.1,31.106,32.1,32.1,33.1,33.156,33.656,34.156,34.16,0.0,2.06,3.56
0.028,0.85,11,34,39,34,36,28.9,33.15,30.4,34.65,33.656,34.65,34.65,35.65,35.706,36.206,36.706,36.71,0.0,2.06,3.56
0.028,0.85,12,37,42,37,39,31.45,35.7,32.95,37.2,36.206,37.2,37.2,38.2,38.256,38.756,39.256,39.26,0.0,2.06,3.56
0.028,0.85,13,40,45,40,42,34.0,38.25,35.5,39.75,38.756,39.75,39.75,40.75,40.806,41.306,41.806,41.81,0.0,2.06,3.56
0.028,0.85,14,43,48,43,45,36.55,40.8,38.05,42.3,41.306,42.3,42.3,43.3,43.356,43.856,44.356,44.36,0.0,2.06,3.56
0.028,0.85,15,46,51,46,48,39.1,43.35,40.6,44.85,43.856,44.85,44.85,45.85,45.906,46.406,46.906,46.91,0.0,2.06,3.56
0.028,0.85,16,49,54,49,51,41.65,45.9,43.15,47.4,46.406,47.4,47.4,48.4,48.456,48.956,49.456,49.46,0.0,2.06,3.56
0.028,0.85,17,52,57,52,54,44.2,48.45,45.7,49.95,48.956,49.95,49.95,50.95,51.006,51.506,52.006,52.01,0.0,2.06,3.56
0.028,0.85,18,55,60,55,60,46.75,51.0,48.25,52.5,51.506,52.5,52.5,53.5,53.556,,54.556,54.56,0.0,2.06,3.56
0.028,0.8,0,1,6,1,3,0.8,4.8,2.3,6.3,,6.3,6.3,7.3,7.356,7.856,8.356,8.36,0.0,2.06,3.56
0.028,0.8,1,4,9,4,6,3.2,7.2,4.7,8.7,7.856,8.7,8.7,9.7,9.756,10.256,10.756,10.76,0.0,2.06,3.56
0.028,0.8,2,7,12,7,9,5.6,9.6,7.1,11.1,10.256,11.1,11.1,12.1,12.156,12.656,13.156,13.16,0.0,2.06,3.56
0.028,0.8,3,10,15,10,12,8.0,12.0,9.5,13.5,12.656,13.5,13.5,14.5,14.556,15.056,15.556,15.56,0.0,2.06,3.56
0.028,0.8,4,13,18,13,15,10.4,14.4,11.9,15.9,15.056,15.9,15.9,16.9,16.956,17.456,17.956,17.96,0.0,2.06,3.56
0.028,0.8,5,16,21,16,18,12.8,16.8,14.3,18.3,17.456,18.3,18.3,19.3,19.356,19.856,20.356,20.36,0.0,2.06,3.56
0.028,0.8,6,19,24,19,21,15.2,19.2,16.7,20.7,19.856,20.7,20.7,21.7,21.756,22.256,22.756,22.76,0.0,2.06,3.56
0.028,0.8,7,22,27,22,24,17.6,21.6,19.1,23.1,22.256,23.1,23.1,24.1,24.156,24.656,25.156,25.16,0.0,2.06,3.56
0.028,0.8,8,25,30,25,27,20.0,24.0,21.5,25.5,24.656,25.5,25.5,26.5,26.556,27.056,27.556,27.56,0.0,2.06,3.56
0.028,0.8,9,28,33,28,30,22.4,26.4,23.9,27.9,27.056,27.9,27.9,28.9,28.956,29.456,29.956,29.96,0.0,2.06,3.56
0.028,0.8,10,31,36,31,33,24.8,28.8,26.3,30.3,29.456,30.3,30.3,31.3,31.356,31.856,32.356,32.36,0.0,2.06,3.56
